id,stateAbbr,stateName,taxPerGallon,taxPerGallonRank
0,US,United States,1.07,
1,AL,Alabama,1.7,5
2,AK,Alaska,2.5,2
4,AZ,Arizona,0.84,26
5,AR,Arkansas,1.35,12
6,CA,California,0.2,43
8,CO,Colorado,0.32,38
9,CT,Connecticut,0.72,27
10,DE,Delaware,0.97,22
11,DC,District of Columbia,1.72,-5
12,FL,Florida,2.25,3
13,GA,Georgia,1.51,7
15,HI,Hawaii,1.38,11
16,ID,Idaho,0.45,36
17,IL,Illinois,1.39,10
18,IN,Indiana,0.47,35
19,IA,Iowa,1.75,4
20,KS,Kansas,0.3,40
21,KY,Kentucky,3.3,1
22,LA,Louisiana,0.11,45
23,ME,Maine,0.6,31
24,MD,Maryland,1.35,12
25,MA,Massachusetts,0.55,32
26,MI,Michigan,0.51,34
27,MN,Minnesota,1.18,16
28,MS,Mississippi,--,--
29,MO,Missouri,0.42,37
30,MT,Montana,1.06,18
31,NE,Nebraska,0.95,23
32,NV,Nevada,0.7,29
33,NH,New Hampshire,--,--
34,NJ,New Jersey,0.88,24
35,NM,New Mexico,1.7,5
36,NY,New York,0.3,40
37,NC,North Carolina,1,20
38,ND,North Dakota,1.06,18
39,OH,Ohio,0.32,38
40,OK,Oklahoma,0.72,27
41,OR,Oregon,0.67,30
42,PA,Pennsylvania,0,--
44,RI,Rhode Island,1.4,9
45,SC,South Carolina,1.08,17
46,SD,South Dakota,1.27,14
47,TN,Tennessee,1.27,14
48,TX,Texas,0.2,43
49,UT,Utah,--,--
50,VT,Vermont,0.55,32
51,VA,Virginia,1.51,7
53,WA,Washington,0.87,25
54,WV,West Virginia,1,20
55,WI,Wisconsin,0.25,42
56,WY,Wyoming,--,--
