id,stateAbbr,stateName,taxPerGallon,taxPerGallonRank
0,US,United States,1.07,
1,AL,Alabama,1.70,5
2,AK,Alaska,2.50,2
4,AZ,Arizona,0.84,26
5,AR,Arkansas,1.41,11
6,CA,California,0.20,45
8,CO,Colorado,0.32,40
9,CT,Connecticut,0.72,28
10,DE,Delaware,1.63,7
11,DC,District of Columbia,1.89,4*
12,FL,Florida,2.25,3
13,GA,Georgia,1.51,8
15,HI,Hawaii,1.38,14
16,ID,Idaho,0.45,37
17,IL,Illinois,1.39,13
18,IN,Indiana,0.47,36
19,IA,Iowa,1.75,4
20,KS,Kansas,0.30,41
21,KY,Kentucky,3.30,1
22,LA,Louisiana,0.76,27
23,ME,Maine,0.60,32
24,MD,Maryland,1.48,10
25,MA,Massachusetts,0.55,33
26,MI,Michigan,0.51,35
27,MN,Minnesota,1.22,17
28,MS,Mississippi,--,--
29,MO,Missouri,0.42,38
30,MT,Montana,1.06,20
31,NE,Nebraska,0.95,23
32,NV,Nevada,0.70,30
33,NH,New Hampshire,--,--
34,NJ,New Jersey,0.88,24
35,NM,New Mexico,1.70,5
36,NY,New York,0.30,41
37,NC,North Carolina,1.00,22
38,ND,North Dakota,1.22,18
39,OH,Ohio,0.32,39
40,OK,Oklahoma,0.72,28
41,OR,Oregon,0.67,31
42,PA,Pennsylvania,--,--
44,RI,Rhode Island,1.40,12
45,SC,South Carolina,1.08,19
46,SD,South Dakota,1.31,15
47,TN,Tennessee,1.27,16
48,TX,Texas,0.20,44
49,UT,Utah,--,--
50,VT,Vermont,0.55,33
51,VA,Virginia,1.51,8
53,WA,Washington,0.87,25
54,WV,West Virginia,1.00,21
55,WI,Wisconsin,0.25,43
56,WY,Wyoming,--,--
